time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,datetimes
2022-09-01 00:00:00,280.13,275.28,279.12,6537.73,1814642.51,278.29,direct,,1661990400,2022-09-01
2022-09-01 01:00:00,279.78,277.95,278.29,6603.53,1842049.41,279.47,direct,,1661994000,2022-09-01
2022-09-01 02:00:00,280.37,277.17,279.47,5142.91,1435663.82,277.73,direct,,1661997600,2022-09-01
2022-09-01 03:00:00,278.62,276.21,277.73,4874.17,1351917.99,277.46,direct,,1662001200,2022-09-01
2022-09-01 04:00:00,278.26,276.94,277.46,2872.49,797645.79,277.67,direct,,1662004800,2022-09-01
2022-09-01 05:00:00,279.51,277.56,277.67,3521.69,981590.12,278.09,direct,,1662008400,2022-09-01
2022-09-01 06:00:00,278.24,276.26,278.09,5295.72,1468772.43,276.7,direct,,1662012000,2022-09-01
2022-09-01 07:00:00,276.7,274.71,276.7,7773.16,2142493.38,275.28,direct,,1662015600,2022-09-01
2022-09-01 08:00:00,275.96,274.19,275.28,5509.06,1515244.87,275.87,direct,,1662019200,2022-09-01
2022-09-01 09:00:00,276.8,274.54,275.87,6111.35,1685222.69,276.44,direct,,1662022800,2022-09-01
2022-09-01 10:00:00,277.58,276.01,276.44,6414.19,1773674.29,277.47,direct,,1662026400,2022-09-01
2022-09-01 11:00:00,279.09,276.88,277.47,5669.43,1576754.68,278.41,direct,,1662030000,2022-09-01
2022-09-01 12:00:00,278.69,275.6,278.41,9639.0,2670300.95,276.48,direct,,1662033600,2022-09-01
2022-09-01 13:00:00,277.98,275.83,276.48,6337.18,1753688.36,276.87,direct,,1662037200,2022-09-01
2022-09-01 14:00:00,277.49,270.59,276.87,21264.98,5809616.11,271.91,direct,,1662040800,2022-09-01
2022-09-01 15:00:00,274.79,271.5,271.91,11232.18,3064306.72,272.46,direct,,1662044400,2022-09-01
2022-09-01 16:00:00,273.46,271.26,272.46,5424.73,1476926.19,272.64,direct,,1662048000,2022-09-01
2022-09-01 17:00:00,275.4,272.35,272.64,7954.1,2181301.86,273.26,direct,,1662051600,2022-09-01
2022-09-01 18:00:00,275.57,272.87,273.26,5468.51,1502565.88,274.88,direct,,1662055200,2022-09-01
2022-09-01 19:00:00,276.82,274.63,274.88,7260.03,2001447.98,275.76,direct,,1662058800,2022-09-01
2022-09-01 20:00:00,278.07,275.61,275.76,4913.94,1360550.16,277.3,direct,,1662062400,2022-09-01
2022-09-01 21:00:00,278.54,276.4,277.3,3254.41,902763.31,276.69,direct,,1662066000,2022-09-01
2022-09-01 22:00:00,278.46,276.62,276.69,3027.15,840669.71,277.84,direct,,1662069600,2022-09-01
2022-09-01 23:00:00,278.73,277.53,277.84,2837.78,789284.37,278.27,direct,,1662073200,2022-09-01
2022-09-02 00:00:00,278.61,276.47,278.27,3290.78,912705.76,277.11,direct,,1662076800,2022-09-02
2022-09-02 01:00:00,277.29,275.64,277.11,3006.63,830676.81,276.14,direct,,1662080400,2022-09-02
2022-09-02 02:00:00,277.24,275.11,276.14,5355.55,1477015.06,277.24,direct,,1662084000,2022-09-02
2022-09-02 03:00:00,281.23,277.18,277.24,7408.23,2072000.91,278.98,direct,,1662087600,2022-09-02
2022-09-02 04:00:00,280.63,277.97,278.98,3459.98,965878.44,278.16,direct,,1662091200,2022-09-02
2022-09-02 05:00:00,278.37,277.17,278.16,3629.44,1007729.58,278.03,direct,,1662094800,2022-09-02
2022-09-02 06:00:00,278.26,277.0,278.03,3422.03,950049.57,277.76,direct,,1662098400,2022-09-02
2022-09-02 07:00:00,278.97,277.76,277.69,3292.86,918613.08,278.97,multiply,BTC,1662102000,2022-09-02
2022-09-02 08:00:00,278.78,277.97,278.97,3498.42,973876.16,278.38,multiply,BTC,1662105600,2022-09-02
2022-09-02 09:00:00,280.04,278.25,278.27,3221.83,899262.22,278.94,direct,,1662109200,2022-09-02
2022-09-02 10:00:00,279.53,277.64,278.94,3731.78,1038362.65,278.19,direct,,1662112800,2022-09-02
2022-09-02 11:00:00,279.08,277.33,278.19,2869.11,798370.15,278.95,direct,,1662116400,2022-09-02
2022-09-02 12:00:00,283.58,278.3,278.95,12544.33,3526665.26,281.82,direct,,1662120000,2022-09-02
2022-09-02 13:00:00,283.1,281.4,281.82,5387.31,1519894.58,281.48,direct,,1662123600,2022-09-02
