time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,datetimes
2022-09-01 00:00:00,26.8,26.43,26.72,21065.07,561529.85,26.66,direct,,1661990400,2022-09-01
2022-09-01 01:00:00,26.83,26.64,26.66,7999.21,213825.75,26.76,direct,,1661994000,2022-09-01
2022-09-01 02:00:00,26.86,26.64,26.76,9569.5,255873.68,26.69,direct,,1661997600,2022-09-01
2022-09-01 03:00:00,26.77,26.44,26.69,10934.13,291374.74,26.57,direct,,1662001200,2022-09-01
2022-09-01 04:00:00,26.69,26.53,26.57,6625.0,176184.74,26.64,direct,,1662004800,2022-09-01
2022-09-01 05:00:00,26.77,26.62,26.64,8041.97,214616.02,26.66,direct,,1662008400,2022-09-01
2022-09-01 06:00:00,26.67,26.47,26.66,18287.33,485644.67,26.51,direct,,1662012000,2022-09-01
2022-09-01 07:00:00,26.51,26.31,26.51,7067.77,186658.8,26.42,direct,,1662015600,2022-09-01
2022-09-01 08:00:00,26.51,26.37,26.42,11110.44,293835.19,26.51,direct,,1662019200,2022-09-01
2022-09-01 09:00:00,26.57,26.38,26.51,5884.3,155860.49,26.54,direct,,1662022800,2022-09-01
2022-09-01 10:00:00,26.71,26.52,26.54,5074.24,134997.35,26.71,direct,,1662026400,2022-09-01
2022-09-01 11:00:00,26.9,26.64,26.71,8838.37,236385.12,26.8,direct,,1662030000,2022-09-01
2022-09-01 12:00:00,26.83,26.53,26.8,10765.87,287300.7,26.66,direct,,1662033600,2022-09-01
2022-09-01 13:00:00,26.77,26.56,26.66,16886.9,450084.91,26.67,direct,,1662037200,2022-09-01
2022-09-01 14:00:00,26.68,26.12,26.67,34400.7,908080.44,26.18,direct,,1662040800,2022-09-01
2022-09-01 15:00:00,26.41,26.13,26.18,9622.98,252831.26,26.31,direct,,1662044400,2022-09-01
2022-09-01 16:00:00,26.35,26.1,26.31,31672.31,829870.11,26.24,direct,,1662048000,2022-09-01
2022-09-01 17:00:00,26.63,26.22,26.24,13901.97,368104.64,26.39,direct,,1662051600,2022-09-01
2022-09-01 18:00:00,26.64,26.36,26.39,6178.9,164029.99,26.51,direct,,1662055200,2022-09-01
2022-09-01 19:00:00,26.64,26.47,26.51,4358.01,115641.74,26.58,direct,,1662058800,2022-09-01
2022-09-01 20:00:00,26.85,26.58,26.58,12356.58,329940.67,26.83,direct,,1662062400,2022-09-01
2022-09-01 21:00:00,26.96,26.81,26.83,5480.16,147166.63,26.87,direct,,1662066000,2022-09-01
2022-09-01 22:00:00,26.99,26.84,26.87,8678.67,233360.85,26.86,direct,,1662069600,2022-09-01
2022-09-01 23:00:00,26.92,26.81,26.86,8727.11,234519.24,26.9,direct,,1662073200,2022-09-01
2022-09-02 00:00:00,26.92,26.75,26.9,4174.16,111976.12,26.84,direct,,1662076800,2022-09-02
2022-09-02 01:00:00,26.85,26.72,26.84,16639.07,445254.07,26.78,direct,,1662080400,2022-09-02
2022-09-02 02:00:00,26.84,26.66,26.78,7575.31,202570.44,26.78,direct,,1662084000,2022-09-02
2022-09-02 03:00:00,27.08,26.78,26.78,18104.93,488730.05,26.97,direct,,1662087600,2022-09-02
2022-09-02 04:00:00,27.12,26.66,26.97,22301.16,598829.41,26.73,direct,,1662091200,2022-09-02
2022-09-02 05:00:00,26.69,26.65,26.71,5523.18,147285.63,26.67,multiply,BTC,1662094800,2022-09-02
2022-09-02 06:00:00,26.69,26.52,26.68,4504.7,119762.19,26.6,direct,,1662098400,2022-09-02
2022-09-02 07:00:00,26.68,26.55,26.6,6730.97,179212.89,26.67,direct,,1662102000,2022-09-02
2022-09-02 08:00:00,26.7,26.61,26.67,11206.93,298890.95,26.67,direct,,1662105600,2022-09-02
2022-09-02 09:00:00,26.77,26.64,26.67,5186.22,138370.07,26.74,direct,,1662109200,2022-09-02
2022-09-02 10:00:00,26.8,26.56,26.74,16485.55,438514.23,26.63,direct,,1662112800,2022-09-02
2022-09-02 11:00:00,26.71,26.56,26.63,7608.93,202573.27,26.7,direct,,1662116400,2022-09-02
2022-09-02 12:00:00,27.15,26.63,26.7,24655.33,662814.25,27.03,direct,,1662120000,2022-09-02
2022-09-02 13:00:00,27.18,26.93,27.03,27460.79,742967.13,26.96,direct,,1662123600,2022-09-02
2022-09-02 14:00:00,27.18,26.89,26.96,10698.69,289490.31,27.07,direct,,1662127200,2022-09-02
2022-09-02 15:00:00,27.14,26.98,27.07,4280.44,115794.85,27.04,direct,,1662130800,2022-09-02
2022-09-02 16:00:00,27.06,26.54,27.04,23110.67,619142.94,26.6,direct,,1662134400,2022-09-02
2022-09-02 17:00:00,26.66,26.25,26.6,21650.89,571465.41,26.27,direct,,1662138000,2022-09-02
2022-09-02 18:00:00,26.48,26.21,26.27,18309.13,481376.71,26.37,direct,,1662141600,2022-09-02
2022-09-02 19:00:00,26.38,26.05,26.37,12623.66,330646.0,26.21,direct,,1662145200,2022-09-02
2022-09-02 20:00:00,26.27,26.12,26.21,6286.62,164673.48,26.27,direct,,1662148800,2022-09-02
2022-09-02 21:00:00,26.35,26.26,26.27,3492.83,91916.95,26.31,direct,,1662152400,2022-09-02
2022-09-02 22:00:00,26.39,26.23,26.31,3692.91,97195.04,26.35,direct,,1662156000,2022-09-02
2022-09-02 23:00:00,26.37,26.25,26.35,3957.2,104148.44,26.32,direct,,1662159600,2022-09-02
2022-09-03 00:00:00,26.43,26.23,26.32,9704.49,255829.68,26.38,direct,,1662163200,2022-09-03
2022-09-03 01:00:00,26.38,26.25,26.38,8218.42,216092.41,26.28,direct,,1662166800,2022-09-03
2022-09-03 02:00:00,26.29,26.18,26.28,8649.01,226963.67,26.24,direct,,1662170400,2022-09-03
2022-09-03 03:00:00,26.3,26.17,26.24,11607.34,304534.35,26.24,direct,,1662174000,2022-09-03
2022-09-03 04:00:00,26.3,26.22,26.24,2852.41,74899.92,26.28,direct,,1662177600,2022-09-03
2022-09-03 05:00:00,26.35,26.28,26.28,3325.93,87528.47,26.31,direct,,1662181200,2022-09-03
2022-09-03 06:00:00,26.33,26.17,26.31,3707.1,97240.73,26.24,direct,,1662184800,2022-09-03
2022-09-03 07:00:00,26.26,26.0,26.24,15182.34,395628.29,26.1,direct,,1662188400,2022-09-03
2022-09-03 08:00:00,26.23,26.08,26.1,13076.25,341879.9,26.14,direct,,1662192000,2022-09-03
2022-09-03 09:00:00,26.2,26.07,26.14,7305.89,191088.44,26.17,direct,,1662195600,2022-09-03
2022-09-03 10:00:00,26.29,26.17,26.17,6211.31,162971.79,26.27,direct,,1662199200,2022-09-03
2022-09-03 11:00:00,26.28,26.13,26.27,7657.2,200705.93,26.17,direct,,1662202800,2022-09-03
2022-09-03 12:00:00,26.27,26.16,26.17,6506.0,170541.58,26.25,direct,,1662206400,2022-09-03
2022-09-03 13:00:00,26.33,26.21,26.25,7124.1,187191.46,26.28,direct,,1662210000,2022-09-03
2022-09-03 14:00:00,26.29,26.15,26.28,5407.22,141622.57,26.19,direct,,1662213600,2022-09-03
2022-09-03 15:00:00,26.22,26.05,26.19,9706.61,253638.05,26.1,direct,,1662217200,2022-09-03
2022-09-03 16:00:00,26.19,26.09,26.1,7818.61,204401.65,26.14,direct,,1662220800,2022-09-03
2022-09-03 17:00:00,26.18,26.09,26.14,3916.51,102299.55,26.17,direct,,1662224400,2022-09-03
2022-09-03 18:00:00,26.2,26.08,26.17,4941.91,129194.73,26.09,direct,,1662228000,2022-09-03
2022-09-03 19:00:00,26.21,25.94,26.09,11970.32,312145.28,26.08,direct,,1662231600,2022-09-03
2022-09-03 20:00:00,26.11,26.02,26.08,6308.93,164492.73,26.1,direct,,1662235200,2022-09-03
2022-09-03 21:00:00,26.14,26.08,26.1,1150.12,30034.68,26.11,direct,,1662238800,2022-09-03
2022-09-03 22:00:00,26.21,26.11,26.11,4164.93,109025.32,26.16,direct,,1662242400,2022-09-03
2022-09-03 23:00:00,26.21,26.1,26.16,2356.73,61661.34,26.21,direct,,1662246000,2022-09-03
2022-09-04 00:00:00,26.25,26.17,26.21,5363.36,140505.99,26.17,direct,,1662249600,2022-09-04
2022-09-04 01:00:00,26.25,26.16,26.17,4523.48,118530.01,26.17,direct,,1662253200,2022-09-04
2022-09-04 02:00:00,26.21,26.16,26.17,3676.43,96264.85,26.18,direct,,1662256800,2022-09-04
2022-09-04 03:00:00,26.23,26.09,26.18,5387.4,140931.55,26.13,direct,,1662260400,2022-09-04
2022-09-04 04:00:00,26.23,26.1,26.13,8637.04,225850.42,26.2,direct,,1662264000,2022-09-04
2022-09-04 05:00:00,26.2,26.14,26.2,6030.13,157779.86,26.14,direct,,1662267600,2022-09-04
2022-09-04 06:00:00,26.18,25.87,26.14,30470.32,792198.47,25.97,direct,,1662271200,2022-09-04
2022-09-04 07:00:00,26.04,25.93,25.97,11389.04,296004.34,25.94,direct,,1662274800,2022-09-04
2022-09-04 08:00:00,26.14,25.87,25.94,12375.49,321808.84,26.1,direct,,1662278400,2022-09-04
2022-09-04 09:00:00,26.23,26.1,26.1,5331.07,139642.26,26.18,direct,,1662282000,2022-09-04
2022-09-04 10:00:00,26.24,26.14,26.18,6846.79,179339.8,26.2,direct,,1662285600,2022-09-04
