time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,datetimes
2022-09-01 00:00:00,31.75,31.12,31.49,190046.62,5974527.68,31.48,direct,,1661990400,2022-09-01
2022-09-01 01:00:00,31.63,31.35,31.48,95452.8,3006400.95,31.5,direct,,1661994000,2022-09-01
2022-09-01 02:00:00,31.65,31.34,31.5,91025.02,2869076.49,31.43,direct,,1661997600,2022-09-01
2022-09-01 03:00:00,31.52,30.98,31.43,130779.23,4084041.13,31.22,direct,,1662001200,2022-09-01
2022-09-01 04:00:00,31.42,31.12,31.22,71566.53,2238203.16,31.34,direct,,1662004800,2022-09-01
2022-09-01 05:00:00,31.54,31.3,31.34,85365.59,2682187.97,31.33,direct,,1662008400,2022-09-01
2022-09-01 06:00:00,31.35,31.05,31.33,120500.27,3762735.28,31.13,direct,,1662012000,2022-09-01
2022-09-01 07:00:00,31.17,30.84,31.13,132614.21,4111456.97,31.07,direct,,1662015600,2022-09-01
2022-09-01 08:00:00,31.14,30.85,31.07,83761.04,2598198.74,31.08,direct,,1662019200,2022-09-01
2022-09-01 09:00:00,31.27,30.96,31.08,138553.54,4309927.54,31.2,direct,,1662022800,2022-09-01
2022-09-01 10:00:00,31.39,31.15,31.2,99948.76,3124182.52,31.37,direct,,1662026400,2022-09-01
2022-09-01 11:00:00,31.58,31.28,31.37,149398.08,4690826.46,31.47,direct,,1662030000,2022-09-01
2022-09-01 12:00:00,31.49,31.04,31.47,137285.31,4292017.7,31.23,direct,,1662033600,2022-09-01
2022-09-01 13:00:00,31.35,31.01,31.23,185543.59,5779537.26,31.13,direct,,1662037200,2022-09-01
2022-09-01 14:00:00,31.2,30.44,31.13,366277.48,11263618.67,30.58,direct,,1662040800,2022-09-01
2022-09-01 15:00:00,30.99,30.51,30.58,179573.4,5522691.75,30.75,direct,,1662044400,2022-09-01
2022-09-01 16:00:00,30.85,30.48,30.75,206290.91,6323564.29,30.65,direct,,1662048000,2022-09-01
2022-09-01 17:00:00,31.09,30.6,30.65,144097.36,4449843.22,30.76,direct,,1662051600,2022-09-01
2022-09-01 18:00:00,31.07,30.7,30.76,133376.27,4119898.61,30.84,direct,,1662055200,2022-09-01
2022-09-01 19:00:00,31.07,30.82,30.84,101348.79,3136925.2,31.06,direct,,1662058800,2022-09-01
2022-09-01 20:00:00,31.44,31.0,31.06,173729.98,5428431.42,31.41,direct,,1662062400,2022-09-01
2022-09-01 21:00:00,31.54,31.3,31.41,93013.09,2922117.9,31.4,direct,,1662066000,2022-09-01
2022-09-01 22:00:00,31.78,31.39,31.4,115984.47,3663042.82,31.45,direct,,1662069600,2022-09-01
2022-09-01 23:00:00,31.63,31.39,31.45,98918.34,3116224.97,31.6,direct,,1662073200,2022-09-01
2022-09-02 00:00:00,31.65,31.32,31.6,114856.23,3617807.03,31.46,direct,,1662076800,2022-09-02
2022-09-02 01:00:00,31.54,31.32,31.46,74925.68,2352928.54,31.39,direct,,1662080400,2022-09-02
2022-09-02 02:00:00,31.46,31.11,31.39,78489.86,2452099.12,31.28,direct,,1662084000,2022-09-02
2022-09-02 03:00:00,31.81,31.28,31.28,131383.83,4155144.46,31.57,direct,,1662087600,2022-09-02
2022-09-02 04:00:00,31.95,31.57,31.57,106954.98,3393394.09,31.62,direct,,1662091200,2022-09-02
2022-09-02 05:00:00,31.79,31.49,31.62,79629.35,2517220.27,31.57,direct,,1662094800,2022-09-02
2022-09-02 06:00:00,31.6,31.43,31.57,72889.77,2295532.83,31.59,direct,,1662098400,2022-09-02
2022-09-02 07:00:00,31.66,31.49,31.59,87442.04,2761841.03,31.62,direct,,1662102000,2022-09-02
2022-09-02 08:00:00,31.66,31.4,31.62,84387.31,2660753.64,31.56,direct,,1662105600,2022-09-02
2022-09-02 09:00:00,31.61,31.41,31.56,78268.19,2466972.59,31.57,direct,,1662109200,2022-09-02
2022-09-02 10:00:00,31.69,31.39,31.57,77837.66,2453303.07,31.43,direct,,1662112800,2022-09-02
2022-09-02 11:00:00,31.58,31.26,31.43,100856.99,3166435.06,31.56,direct,,1662116400,2022-09-02
2022-09-02 12:00:00,32.19,31.46,31.56,437080.88,13928663.16,32.02,direct,,1662120000,2022-09-02
2022-09-02 13:00:00,32.35,31.97,32.02,341259.08,10979533.41,32.03,direct,,1662123600,2022-09-02
2022-09-02 14:00:00,32.35,31.87,32.03,231439.45,7441715.65,32.25,direct,,1662127200,2022-09-02
2022-09-02 15:00:00,32.38,32.18,32.25,110655.11,3572144.12,32.28,direct,,1662130800,2022-09-02
2022-09-02 16:00:00,32.34,31.73,32.28,162887.4,5203734.72,31.8,direct,,1662134400,2022-09-02
2022-09-02 17:00:00,31.81,31.13,31.8,255258.53,8018393.53,31.18,direct,,1662138000,2022-09-02
2022-09-02 18:00:00,31.32,30.96,31.18,191571.14,5964244.78,31.14,direct,,1662141600,2022-09-02
2022-09-02 19:00:00,31.23,30.77,31.14,141848.22,4394467.9,31.06,direct,,1662145200,2022-09-02
2022-09-02 20:00:00,31.16,30.89,31.06,86668.93,2689218.36,31.16,direct,,1662148800,2022-09-02
2022-09-02 21:00:00,31.25,31.14,31.16,48518.77,1513311.7,31.19,direct,,1662152400,2022-09-02
2022-09-02 22:00:00,31.24,30.95,31.19,104144.67,3240139.0,31.16,direct,,1662156000,2022-09-02
2022-09-02 23:00:00,31.27,31.07,31.16,52580.09,1637756.78,31.24,direct,,1662159600,2022-09-02
2022-09-03 00:00:00,31.26,31.07,31.24,67929.43,2117667.5,31.2,direct,,1662163200,2022-09-03
2022-09-03 01:00:00,31.21,31.06,31.2,53504.84,1665742.53,31.14,direct,,1662166800,2022-09-03
2022-09-03 02:00:00,31.14,30.93,31.14,59144.39,1836508.6,31.09,direct,,1662170400,2022-09-03
2022-09-03 03:00:00,31.09,30.86,31.09,74068.05,2291828.14,30.93,direct,,1662174000,2022-09-03
2022-09-03 04:00:00,31.13,30.91,30.93,54966.28,1705008.87,31.11,direct,,1662177600,2022-09-03
2022-09-03 05:00:00,31.27,31.11,31.11,50139.16,1564078.33,31.23,direct,,1662181200,2022-09-03
2022-09-03 06:00:00,31.26,31.02,31.23,40490.47,1260781.18,31.19,direct,,1662184800,2022-09-03
2022-09-03 07:00:00,31.21,30.81,31.19,77612.04,2407351.36,31.04,direct,,1662188400,2022-09-03
2022-09-03 08:00:00,31.08,30.93,31.04,57027.67,1767569.01,30.95,direct,,1662192000,2022-09-03
2022-09-03 09:00:00,31.14,30.89,30.95,50898.97,1579693.75,31.09,direct,,1662195600,2022-09-03
2022-09-03 10:00:00,31.21,31.07,31.09,48801.72,1519941.97,31.15,direct,,1662199200,2022-09-03
2022-09-03 11:00:00,31.16,30.99,31.15,48267.88,1499518.52,31.04,direct,,1662202800,2022-09-03
2022-09-03 12:00:00,31.28,31.02,31.04,52291.06,1629771.43,31.19,direct,,1662206400,2022-09-03
2022-09-03 13:00:00,31.25,31.06,31.19,50144.72,1562146.14,31.19,direct,,1662210000,2022-09-03
2022-09-03 14:00:00,31.19,31.0,31.19,53072.63,1649833.58,31.11,direct,,1662213600,2022-09-03
2022-09-03 15:00:00,31.17,31.05,31.11,75678.76,2355931.55,31.13,direct,,1662217200,2022-09-03
2022-09-03 16:00:00,31.2,31.08,31.13,63679.83,1983053.39,31.09,direct,,1662220800,2022-09-03
2022-09-03 17:00:00,31.18,31.02,31.09,41814.53,1299742.14,31.16,direct,,1662224400,2022-09-03
2022-09-03 18:00:00,31.2,31.08,31.16,45906.07,1430255.91,31.12,direct,,1662228000,2022-09-03
2022-09-03 19:00:00,31.18,30.83,31.12,114704.86,3556870.54,30.99,direct,,1662231600,2022-09-03
2022-09-03 20:00:00,31.04,30.92,30.99,63080.4,1954651.83,31.01,direct,,1662235200,2022-09-03
2022-09-03 21:00:00,31.07,31.0,31.01,38018.58,1179685.77,31.04,direct,,1662238800,2022-09-03
2022-09-03 22:00:00,31.21,31.04,31.04,75137.38,2339375.1,31.1,direct,,1662242400,2022-09-03
2022-09-03 23:00:00,31.14,31.01,31.1,58882.35,1828805.52,31.11,direct,,1662246000,2022-09-03
2022-09-04 00:00:00,31.27,31.08,31.11,46443.24,1447682.72,31.09,direct,,1662249600,2022-09-04
2022-09-04 01:00:00,31.27,31.09,31.09,66951.61,2089245.08,31.23,direct,,1662253200,2022-09-04
2022-09-04 02:00:00,31.68,31.23,31.23,96255.46,3030377.43,31.46,direct,,1662256800,2022-09-04
2022-09-04 03:00:00,31.51,31.31,31.46,47718.28,1497471.29,31.43,direct,,1662260400,2022-09-04
2022-09-04 04:00:00,31.52,31.25,31.43,46147.11,1447825.65,31.46,direct,,1662264000,2022-09-04
2022-09-04 05:00:00,31.54,31.44,31.46,44319.16,1395159.83,31.45,direct,,1662267600,2022-09-04
2022-09-04 06:00:00,31.49,31.19,31.45,54357.24,1702342.51,31.29,direct,,1662271200,2022-09-04
2022-09-04 07:00:00,31.35,31.08,31.29,69525.87,2171650.4,31.11,direct,,1662274800,2022-09-04
2022-09-04 08:00:00,31.36,31.03,31.11,58412.81,1822733.47,31.3,direct,,1662278400,2022-09-04
2022-09-04 09:00:00,31.64,31.29,31.3,77106.44,2430626.33,31.55,direct,,1662282000,2022-09-04
2022-09-04 10:00:00,31.71,31.54,31.55,62649.24,1981436.67,31.63,direct,,1662285600,2022-09-04
2022-09-04 11:00:00,31.86,31.54,31.63,53073.66,1682212.17,31.86,direct,,1662289200,2022-09-04
2022-09-04 12:00:00,32.01,31.57,31.86,92006.3,2925760.38,31.81,direct,,1662292800,2022-09-04
2022-09-04 13:00:00,31.87,31.49,31.81,75629.15,2394677.82,31.56,direct,,1662296400,2022-09-04
2022-09-04 14:00:00,31.69,31.45,31.56,61678.31,1947262.52,31.68,direct,,1662300000,2022-09-04
2022-09-04 15:00:00,31.84,31.62,31.68,57384.74,1820219.6,31.81,direct,,1662303600,2022-09-04
2022-09-04 16:00:00,31.92,31.7,31.81,70117.43,2231052.48,31.83,direct,,1662307200,2022-09-04
2022-09-04 17:00:00,31.94,31.7,31.83,69826.66,2221186.5,31.76,direct,,1662310800,2022-09-04
2022-09-04 18:00:00,31.89,31.65,31.76,49303.0,1565198.22,31.7,direct,,1662314400,2022-09-04
2022-09-04 19:00:00,31.77,31.65,31.7,45674.48,1448973.7,31.74,direct,,1662318000,2022-09-04
2022-09-04 20:00:00,32.0,31.74,31.74,63853.1,2036980.39,31.97,direct,,1662321600,2022-09-04
2022-09-04 21:00:00,32.19,31.92,31.97,57054.65,1827640.83,31.98,direct,,1662325200,2022-09-04
2022-09-04 22:00:00,32.01,31.81,31.98,65549.29,2093520.14,31.89,direct,,1662328800,2022-09-04
2022-09-04 23:00:00,32.17,31.86,31.89,92711.82,2968828.35,32.16,direct,,1662332400,2022-09-04
2022-09-05 00:00:00,32.52,32.16,32.16,160301.65,5178259.51,32.23,direct,,1662336000,2022-09-05
2022-09-05 01:00:00,32.42,32.13,32.23,83668.71,2701128.8,32.16,direct,,1662339600,2022-09-05
2022-09-05 02:00:00,32.21,32.1,32.16,67930.59,2183755.74,32.17,direct,,1662343200,2022-09-05
2022-09-05 03:00:00,32.18,32.06,32.17,63819.59,2049390.81,32.11,direct,,1662346800,2022-09-05
2022-09-05 04:00:00,32.18,32.06,32.11,56609.03,1818054.05,32.14,direct,,1662350400,2022-09-05
2022-09-05 05:00:00,32.15,31.48,32.14,171828.91,5448874.25,31.67,direct,,1662354000,2022-09-05
2022-09-05 06:00:00,31.85,31.62,31.67,75395.12,2394706.3,31.79,direct,,1662357600,2022-09-05
2022-09-05 07:00:00,31.8,31.6,31.79,54133.63,1716902.34,31.69,direct,,1662361200,2022-09-05
2022-09-05 08:00:00,31.7,31.53,31.69,65096.09,2058541.58,31.68,direct,,1662364800,2022-09-05
2022-09-05 09:00:00,31.74,31.55,31.68,54068.65,1710469.72,31.65,direct,,1662368400,2022-09-05
2022-09-05 10:00:00,31.7,31.15,31.65,123124.7,3864604.69,31.22,direct,,1662372000,2022-09-05
2022-09-05 11:00:00,31.32,31.18,31.22,74452.9,2326425.77,31.27,direct,,1662375600,2022-09-05
