Headlines,Time
"Aptos launched mainnet, a list of major exchanges such as Binance, FTX, Coinbase, Huobi, …",1666078253
"Same goes for my coffee, wont mind spending on that",1666866949
"On-chain information reveals Binance US, Bittrex additionally focused by API assault used on FTX",1666642357
"Hello, I recently got this new phone, it is a Samsung Note10+ 5G and when ever I scan it always says that Binance is a Malware, is there any solution to fix this?",1667624803
FTX SUPPORT,1667764357
Checkmate: Binance Moves to Acquire FTX,1667975709
Binance has bought FTX let that sink,1667932912
"Binance signs a non-binding LOI, intending to fully acquire FTX.com",1667924610
Binance is acquiring FTX! Binance ceo Changpeng Zhaojust just announced that the company will be acquiring FTX. What do you think happens with Sam Bankman-Fried? Will he still be involved? Here is a video on how Changpeng Zhao started Binance.,1667931837
FTX gets big help from Binance; crypto market crashes,1668011817
How do you view the crypto market under the wonderful performances of CZ and SBF?,1667991653
Breaking: Binance Enters Agreement to Acquire FTX,1667925227
Binance Dumps FTX Token! [Meme],1667904475
Binance look to buy out Sam Bankman-Fried's FTX,1667925337
A Timeline of Events of Binance-FTX Saga,1667989658
CZ ftx,1667945938
"Binance, FTX spat tanks Solana value",1667911177
How to view the crypto market under the wonderful performance of CZ and SBF？,1667992564
Binance to acquire FTX as their token crashes over 85%,1667942810
Binance SAVES &amp; BUYS FTX as it CRASHES Entire Crypto Market!?,1667953980
Binance to liquidate its entire holding of rival FTX's native token,1667832945
Insane Arbitrage opportunity with FTX on couple of dex - still selling for over $14,1667945826
Any thoughts on what will happen to the FTT token with Binance taking over FTX?,1667966132
"Binance Coin Surges +20% in an Hour After Binance Announces Tentative Purchase of FTX, BNB 6-Month High Shorts Get Liquidated",1667926481
Binance to buy ftx,1667927153
"solana short term outlook remains bleak as over 18M worth of $SOL is set to unstaked in less than 24Hrs following the completion of Epoch 780. This means that about $500M worth of SOL will hit the free market, possibly adding to the heavy burden sol is currently facing as FTX dumps their sol bag.",1667996324
ftx,1667881755
CZ will you buy BNB from ftx.com ? same as Justin sun did for trx,1668184841
Binance Backs Out of The Deal To Buy FTX,1668033692
Why FTX and Sam Bankman-Fried was ABANDONED by BINANCE!,1668045747
Who's next after FTX?,1668134981
FTX stops withdrawing,1668060598
How FTX's CEO raw fucked us,1668028547
FTX VS Coinbase - Which Crypto Exchange Dapp to Choose in 2023?,1668254044
FTX Files for Bankruptcy in US,1668177130
Bitcoin (BTC) Price Plummets Further as FTX’s Solvency Woes,1668256421
Who's next after FTX?,1668247286
Waiting.. SBF is in deep 💩,1668146300
Binance CEO expects extra regulatory scrutiny following FTX implosion,1668254454
This is correct (Crypto exchange Binance abandons rescue of FTX one day after announcing takeover bid)؟,1668037372
Binance Killed FTX - Billions Lost - Crypto Mayhem - Nigel Green CEO WealthTech,1668056963
How will the FTX thunderstorm affect Solana and even the entire DeFi Lego?,1668078962
is there any chance things can happen to binance as same happen to ftx?,1668201609
US DOJ asks Binance for information on FTX,1668150104
"Binance Backs Out of FTX Acquisition, Cites Crypto Change’s Stability Sheet and Pending US Investigations",1668172935
Latest Developments Following the FTX Collapse,1668113606
Freeze BNB funds that have been hacked from FTX?,1668258654
"FTX Files For Bankruptcy, SBF Resigns as CEO",1668197936
Binance Ends FTX Acquisition Citing Due Diligence,1668079637
Uncle Sam... (mafia bears),1668033749
Portfolio of FTX and Alameda Research – Which projects should investors be careful with?,1668061018
SBF haircut FTW,1668520883
Binance to Share FTX Deal Documents with UK Lawmakers: Report,1668519131
"After the collapse of FTX, people are moving more and more money to DEXs",1668336824
"What I see: -Technicals looking bad (price below June's low, indicators bearish, funding reset...) -Same bull traps as always, but even weaker. People falling for them. -Comments like ''you are going to miss the train''. Really? This is not over. Final capitulation is likely.",1668586446
So I’m getting a bit nervous of these exchanges and wonder if it’s best to pull my crypto and put into a MetaMask or trust wallet rather than keep money on these exchanges after ftx and now crypto .com cro tanking.,1668391473
