time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,datetimes
2022-09-01 00:00:00,0.06163,0.06055,0.06136,13006691.33,794283.45,0.0613,direct,,1661990400,2022-09-01
2022-09-01 01:00:00,0.06177,0.06124,0.0613,8858977.33,545154.95,0.06164,direct,,1661994000,2022-09-01
2022-09-01 02:00:00,0.06184,0.06114,0.06164,9387551.29,578003.26,0.06128,direct,,1661997600,2022-09-01
2022-09-01 03:00:00,0.06147,0.0603,0.06128,16596169.99,1009683.6,0.06065,direct,,1662001200,2022-09-01
2022-09-01 04:00:00,0.06103,0.06064,0.06065,9547970.13,580987.83,0.06081,direct,,1662004800,2022-09-01
2022-09-01 05:00:00,0.06113,0.0608,0.06081,8587303.09,523858.63,0.06088,direct,,1662008400,2022-09-01
2022-09-01 06:00:00,0.06093,0.06047,0.06088,11656060.51,707328.45,0.06057,direct,,1662012000,2022-09-01
2022-09-01 07:00:00,0.06057,0.0599,0.06057,22983727.28,1384095.51,0.06041,direct,,1662015600,2022-09-01
2022-09-01 08:00:00,0.06061,0.06021,0.06041,11311206.78,683333.35,0.06059,direct,,1662019200,2022-09-01
2022-09-01 09:00:00,0.06076,0.06051,0.06059,10168835.12,616495.08,0.06073,direct,,1662022800,2022-09-01
2022-09-01 10:00:00,0.06128,0.06062,0.06073,7376947.56,449334.68,0.06125,direct,,1662026400,2022-09-01
2022-09-01 11:00:00,0.06161,0.06116,0.06125,9202333.28,564909.96,0.06148,direct,,1662030000,2022-09-01
2022-09-01 12:00:00,0.06162,0.0609,0.06148,8271628.45,507167.88,0.06136,direct,,1662033600,2022-09-01
2022-09-01 13:00:00,0.06153,0.06093,0.06136,13832108.94,847537.84,0.06124,direct,,1662037200,2022-09-01
2022-09-01 14:00:00,0.0619,0.06016,0.06124,46166584.14,2813563.54,0.06056,direct,,1662040800,2022-09-01
2022-09-01 15:00:00,0.06159,0.06044,0.06056,36969157.21,2257859.27,0.06119,direct,,1662044400,2022-09-01
2022-09-01 16:00:00,0.06142,0.06089,0.06119,14305402.35,874345.28,0.06133,direct,,1662048000,2022-09-01
2022-09-01 17:00:00,0.06195,0.06126,0.06133,11327405.37,697782.68,0.06156,direct,,1662051600,2022-09-01
2022-09-01 18:00:00,0.06218,0.06141,0.06156,15243496.49,943676.79,0.06173,direct,,1662055200,2022-09-01
2022-09-01 19:00:00,0.06197,0.06144,0.06173,8689937.3,536085.36,0.0618,direct,,1662058800,2022-09-01
2022-09-01 20:00:00,0.06229,0.06179,0.0618,10778555.92,669440.92,0.06225,direct,,1662062400,2022-09-01
