neg,neu,pos,compound,headline,time,label
0.0,0.889,0.111,0.128,"Aptos launched mainnet, a list of major exchanges such as Binance, FTX, Coinbase, Huobi, …",1666078253,1
0.0,1.0,0.0,0.0,"Same goes for my coffee, wont mind spending on that",1666866949,0
0.207,0.652,0.141,-0.296,"On-chain information reveals Binance US, Bittrex additionally focused by API assault used on FTX",1666642357,-1
0.0,0.924,0.076,0.3182,"Hello, I recently got this new phone, it is a Samsung Note10+ 5G and when ever I scan it always says that Binance is a Malware, is there any solution to fix this?",1667624803,1
0.0,0.27,0.73,0.4019,FTX SUPPORT,1667764357,1
0.0,1.0,0.0,0.0,Checkmate: Binance Moves to Acquire FTX,1667975709,0
0.0,1.0,0.0,0.0,Binance has bought FTX let that sink,1667932912,0
0.0,1.0,0.0,0.0,"Binance signs a non-binding LOI, intending to fully acquire FTX.com",1667924610,0
0.0,1.0,0.0,0.0,Binance is acquiring FTX! Binance ceo Changpeng Zhaojust just announced that the company will be acquiring FTX. What do you think happens with Sam Bankman-Fried? Will he still be involved? Here is a video on how Changpeng Zhao started Binance.,1667931837,0
0.0,0.748,0.252,0.4019,FTX gets big help from Binance; crypto market crashes,1668011817,1
0.0,0.791,0.209,0.5719,How do you view the crypto market under the wonderful performances of CZ and SBF?,1667991653,1
0.0,0.652,0.348,0.4939,Breaking: Binance Enters Agreement to Acquire FTX,1667925227,1
0.428,0.572,0.0,-0.4574,Binance Dumps FTX Token! [Meme],1667904475,-1
0.0,1.0,0.0,0.0,Binance look to buy out Sam Bankman-Fried's FTX,1667925337,0
0.0,1.0,0.0,0.0,A Timeline of Events of Binance-FTX Saga,1667989658,0
0.0,1.0,0.0,0.0,CZ ftx,1667945938,0
0.0,0.676,0.324,0.34,"Binance, FTX spat tanks Solana value",1667911177,1
0.0,0.778,0.222,0.5719,How to view the crypto market under the wonderful performance of CZ and SBF？,1667992564,1
0.0,1.0,0.0,0.0,Binance to acquire FTX as their token crashes over 85%,1667942810,0
0.0,1.0,0.0,0.0,Binance SAVES &amp; BUYS FTX as it CRASHES Entire Crypto Market!?,1667953980,0
0.0,1.0,0.0,0.0,Binance to liquidate its entire holding of rival FTX's native token,1667832945,0
0.154,0.686,0.16,0.0258,Insane Arbitrage opportunity with FTX on couple of dex - still selling for over $14,1667945826,1
0.0,1.0,0.0,0.0,Any thoughts on what will happen to the FTT token with Binance taking over FTX?,1667966132,0
0.0,1.0,0.0,0.0,"Binance Coin Surges +20% in an Hour After Binance Announces Tentative Purchase of FTX, BNB 6-Month High Shorts Get Liquidated",1667926481,0
0.0,1.0,0.0,0.0,Binance to buy ftx,1667927153,0
0.089,0.797,0.113,0.128,"solana short term outlook remains bleak as over 18M worth of $SOL is set to unstaked in less than 24Hrs following the completion of Epoch 780. This means that about $500M worth of SOL will hit the free market, possibly adding to the heavy burden sol is currently facing as FTX dumps their sol bag.",1667996324,1
0.0,1.0,0.0,0.0,ftx,1667881755,0
0.0,1.0,0.0,0.0,CZ will you buy BNB from ftx.com ? same as Justin sun did for trx,1668184841,0
0.13,0.87,0.0,-0.0516,Binance Backs Out of The Deal To Buy FTX,1668033692,-1
0.335,0.665,0.0,-0.6155,Why FTX and Sam Bankman-Fried was ABANDONED by BINANCE!,1668045747,-1
0.0,1.0,0.0,0.0,Who's next after FTX?,1668134981,0
0.444,0.556,0.0,-0.1531,FTX stops withdrawing,1668060598,-1
0.468,0.532,0.0,-0.6597,How FTX's CEO raw fucked us,1668028547,-1
0.0,1.0,0.0,0.0,FTX VS Coinbase - Which Crypto Exchange Dapp to Choose in 2023?,1668254044,0
0.0,1.0,0.0,0.0,FTX Files for Bankruptcy in US,1668177130,0
0.266,0.734,0.0,-0.4404,Bitcoin (BTC) Price Plummets Further as FTX’s Solvency Woes,1668256421,-1
0.0,1.0,0.0,0.0,Who's next after FTX?,1668247286,0
0.0,1.0,0.0,0.0,Waiting.. SBF is in deep 💩,1668146300,0
0.0,1.0,0.0,0.0,Binance CEO expects extra regulatory scrutiny following FTX implosion,1668254454,0
0.117,0.714,0.168,0.25,This is correct (Crypto exchange Binance abandons rescue of FTX one day after announcing takeover bid)؟,1668037372,1
0.43,0.57,0.0,-0.7783,Binance Killed FTX - Billions Lost - Crypto Mayhem - Nigel Green CEO WealthTech,1668056963,-1
0.0,1.0,0.0,0.0,How will the FTX thunderstorm affect Solana and even the entire DeFi Lego?,1668078962,0
