neg,neu,pos,compound,headline,time,label
0.0,0.769,0.231,0.2732,Bora Research#8-Ethereum Price Crashes strongly behind Binance-FTX deal,1667983943,1
0.348,0.652,0.0,-0.4939,"Sam Bankman-Fried says ""sorry"" for FTX’s collapse",1668093312,-1
0.088,0.912,0.0,-0.3412,"CZ Buyout of FTX Is Not Good From a Decentralization Standpoint, Binance Will Be a De Facto Monopoly &amp; Surveillance System For US Capital Controls &amp; Economic Meddling",1667927273,-1
0.126,0.874,0.0,-0.5983,"Head of R&amp;D of CoinMetrics provides evidence Alameda went bankrupt in Q2 already and had to be bailed out by FTX, which caused the exchange to blow up!",1668034588,-1
0.223,0.609,0.168,-0.0258,"Binance backs out of FTX rescue, leaving the crypto exchange on the brink of collapse",1668029128,-1
0.0,0.776,0.224,0.5423,"SkyBridge Capital founder Anthony Scaramucci says “I don’t want to call it fraud,” regarding FTX’s mishandling of user assets. Do you agree?",1668176387,1
0.311,0.689,0.0,-0.886,"Same people who rob you in the fiat system wanna rob you in the name of ""crypto"" and that's why they fear Bitcoin maximalism so much",1668222518,-1
0.0,0.825,0.175,0.1779,All FTX Assets are Gone in a Possible Rug Pull,1668319811,1
0.0,0.625,0.375,0.4588,Ethereum will benefit from FTX situation,1668198083,1
0.227,0.773,0.0,-0.5,Michael Saylor is More Or Less as Much a Bad actor as SBF,1668457006,-1
0.348,0.29,0.362,0.0258,Avoiding crashes like FTX,1668451389,1
0.0,1.0,0.0,0.0,FTX DRAMA GETS MORE INSANE?!,1668310095,0
0.0,1.0,0.0,0.0,CRYPTO.COM AND BINANCE TO FOLLOW FTX?! Video here👇,1668391849,0
0.0,1.0,0.0,0.0,Wolf Of FTX 😂 Day 1 of Caroline Working for Sam Bankman-Fried,1668275498,0
0.132,0.702,0.165,-0.0516,"Since a CoinDesk scoop triggered the collapse of FTX, the value of NFTs has plummeted dramatically in the last few days",1668164484,-1
0.0,1.0,0.0,0.0,Who's next after FTX?,1668139444,0
0.0,1.0,0.0,0.0,A lesson from FTX,1668214406,0
0.0,1.0,0.0,0.0,What’s happening with Elon Musk and Sam Bankman-Fried?,1668387209,0
0.0,1.0,0.0,0.0,Sam Bankman-Fried steps down as FTX CEO as his crypto exchange files for bankruptcy,1668178808,0
0.168,0.832,0.0,-0.7393,Is Ethereum going to crash after the ftx scandal? I am a beginner and do not have much background about it. I bought it cuz everyone is doing so! Should I sell and keep half the money?,1668363754,-1
0.22,0.692,0.088,-0.4767,"SBF Thinks we all live in metaverse: Wake up, fuck up, apologize, repeat",1668680828,-1
0.0,0.95,0.05,0.34,"Ryan Salame, CEO of an FTX subsidiary, was the 14th biggest individual donor on the list, giving more than $23.6 million, all to Republicans; To What Extent are FTX, Senator Gillibrand , Lummis, Boozeman, &amp; Michael Saylor Doing Regulatory Capture To Force KYC (6050i) On DeFi Front Ends.",1668638388,1
0.262,0.738,0.0,-0.4939,How FTX Collapse Is the Lehman Brothers of Crypto Sector?,1668697654,-1
0.291,0.606,0.103,-0.4767,"The FTX exploiter, who has been dumping all other drained assets for ETH",1668545976,-1
0.0,1.0,0.0,0.0,Binance FTX Full Coverage Till 16 Nov -,1668607859,0
0.317,0.683,0.0,-0.9491,Ftx totally destroy my life. Lost all my money there and have a big debt more than 35 k :( Do someone have some information about ftx? Is this scam now? Or they are still looking way to give back cash for ppls?,1668501395,-1
0.0,1.0,0.0,0.0,Binance FTX Full Coverage Till 16 Nov -,1668677379,0
0.0,1.0,0.0,0.0,‎NFT and Chill: FTX and the Difference Between CeFi vs DeFi on Apple Podcasts,1668545660,0
0.231,0.769,0.0,-0.5859,"Lost all my money on ftx, debt more than 35 k. Do someone have new inf about ftx?",1668501304,-1
0.274,0.692,0.035,-0.9538,Ftx totally destroy my life. Lost all my money there and have a big debt more than 35 k :( Do someone have some information about ftx? Is this scam now? Or they are still looking way to give back cash for ppls? who have also problems with ftx here ? Maybe you have some Group for ppls like me?,1668501625,-1
0.057,0.943,0.0,-0.128,"DYDX resumes USDC Liquidity provision/ staking at a market leading 14.31% apr. States ""influx of new demand for decentralised margin as a result of FTX implosion"" - Defi Pulse",1669162581,-1
0.0,0.775,0.225,0.4404,Is the 'FTX Hacker Trading ETH to BTC' good for Eth?,1669076141,1
0.0,0.756,0.244,0.4404,Will the FTX situation make defi and non-custodial wallets better?,1668894278,1
0.0,0.769,0.231,0.2732,"Understanding txs of the ""FTX Accounts Drainer"" account",1669115304,1
0.0,0.63,0.37,0.5719,420 thinking.....ETH and BTC will increase in value after FTX.,1668811383,1
0.0,1.0,0.0,0.0,Crypto Fund Sino Global Had Deep Ties to FTX Beyond Equity Investment,1668821876,0
0.0,0.819,0.181,0.4767,"We can´t change what happened with FTX, but we can get people excited about self-custody",1668856184,1
0.057,0.943,0.0,-0.128,"DYDX resumes USDC Liquidity provision/ staking at a market leading 14.31% apr. States ""influx of new demand for decentralised margin as a result of FTX implosion"" - Defi Pulse",1669163764,-1
0.161,0.497,0.342,0.4404,DEXs were winning the crypto battle well before FTX meltdown: Chainalysis,1669113094,1
0.31,0.556,0.134,-0.5859,Do you think the collapse of FTX is good or bad for the blockchain ecosystem?,1668787228,-1
0.0,0.826,0.174,0.2732,"I'm trying to understand txs of the ""FTX Account Drainer"" Account",1669115073,1
0.057,0.943,0.0,-0.128,"DYDX resumes USDC Liquidity provision/ staking at a market leading 14.31% apr. States ""influx of new demand for decentralised margin as a result of FTX implosion"" - Defi Pulse",1669165500,-1
