Headlines,Time
Don't fret Solana crew. Sam Bank-MAN Friedman will get us out of this bear market. All hail Sam!,1666323806
Solana Lab's funds are not on FTX,1668007364
Does FTX/Alameda really own 10% of the SOL supply??,1667965089
So will FTX dump?,1668056267
Thoughts shared about SBF from a credible source.,1668052329
FTX Solana Wallets,1667866500
Binance not buying FTX,1668028791
Can someone give me the tldr on FTX’s effects on Sol? Hard to keep up with everything this week …,1668047683
Why is sol so cheap rn? Is it to do with ftx?,1668078042
You probably shouldn't stake on Binance or FTX unless you want Solana to become very centralized,1667926808
FTX Token ( FTT ) is too centralized. Risky for investors.,1667896742
How to unwrap sollet BTC without FTX?,1667961844
"can we petition to sue Solana, ftx, and others",1668069123
"Solana Labs, A US Corp, Didn’t Have Any Assets On FTX Exchange",1668066933
"Afaik, the FTX fiasco only affects SOL's price, not the actual viability of the blockchain. What's with the doomers? Am I missing something?",1668053382
Thoughts on SBF??,1668021281
FTX Hack Sparks Revolution at Serum DEX as Solana Devs Plot Alameda's Ouster,1668311787
‎NFT and Chill: FTX and the Difference Between CeFi vs DeFi on Apple Podcasts,1668545778
Is FTX US fine? Is it totally separate from the mess happening at FTX International?,1668360476
why does you logo has so many similarities with FTX's logo?,1668411233
"Do not login to FTX, malware possible",1668226855
"Why is Anatoly so quite, what’s his take and what exchange of messages did he have with SBF recently?",1668326902
what exchange are you guys using to buy solana now that ftx drama happened?,1668186116
"ftx, doj, biden ,scam, sbf.",1668266437
Anyone thoughts on FTX bankruptcy?,1668189559
Does anyone have the wallet addresses for FTX?,1668569717
"CZ is in talks to "" reduce further cascading negative effects of FTX, Binance is forming an industry recovery fund, to help projects who are otherwise strong, but in a liquidity crisis."" Solana fits this description. Anyone from here plan to join and ask about him assisting Solana? Link here.",1668425228
How it feels to trade #crypto when #FTX went jnsolvent. #SBF #viral #lol,1668370309
Get funds out of FTX US as well if you haven't,1668141474
I Wonder who Made Money on the FTX Trades,1668121163
Official Solana Ecosystem updates page regarding the ongoing FTX situation,1668405037
Millions of $$$ are getting drained out of FTX delete the app immediately,1668228834
You can still withdraw Sol from FTX US. They just filed for Bankruptcy,1668180801
'The King is dead': Inside the fall of FTX,1668347898
Possible trick to get funds out of FTX US right now,1668132157
FTX impacts vs BTC decline,1668552793
"Last week was a horrible one for the whole Solana ecosystem and lending has been impacted quite significantly by the FTX drama as well. Nevertheless, keep calm and never stop buidling.",1668440693
"Don't get discouraged. As a Sol fan, you should celebrate the fall of FTX. Let us explain",1668454758
Star Atlas Impact From FTX:,1668217021
"After what happened to FTX, What exchanges would you rather stay away from",1668535927
Solana developers at FTXs office compound,1668288018
"After FTX, is this the next kingpin to fall?",1668437941
Do NOT access anything from FTX,1668233355
Solana Discloses Losses From FTX Collapse - The Defiant,1668518959
Perspective of what it was like to be under SBF,1668428672
“They seem to be moving everything”. FTX fully hacked. All funds being drained. SOL full dump likely impending,1668229904
Multicoin Capital letter to LPs regarding FTX; Lots of SOLANA Information.,1668135013
Star Atlas Impacted by FTX Insolvency:,1668216730
Solana in FTX,1668482416
We made a NFT collection to help projects recover from the FTX collapse.,1669057563
Hackers Laundering Hundreds Of Millions They Stole From The FTX,1669072023
How did FTX actually support Solana?,1669207972
Longterm - FTX no longer hanging over solana will be a good thing.,1668791145
The FTX examiner was a company based in the metaverse.,1669191429
Does FTX/Alameda has still SOL? Or do they sold it already?,1668702788
Mainly just wanted to put this on record but Solana is going right back to prices before the FTX incident.,1669190118
Solana Loses 70% TVL As The FTX Contagion Spreads,1668880724
Solana Endures 'Crucible' as FTX Connection Deletes 70% of TVL - The Defiant,1668786434
"Hey guys! Just saw an amazing review of Solana’s tech, ecosystem, and recent exposure to the FTX/Alameda bankruptcy. Definitely a must-see and please subscribe for more updates on the project! 🚀",1668706524
Ripple is buying FTX assets,1668919869
Selling of FTX allocation,1669030961
„FTX CEO asked OKX for +$2 billion before contacting Binance - then he called back hours later and asked for even more“,1669027874
"[Coinbureau] Solana Update: FTX, Alameda &amp; Impacts on SOL!",1668702255
People called Solana a VC coin because it was backed by SBF. Now SBF is gone (SOLs are frozen for many years because of Chapter11) and people are still complaining. 🤣,1668866813
